time	count
89048.00	1.00
89053.00	0.00
89106.00	1.00
89124.00	0.00
89165.00	1.00
89170.00	0.00
89195.00	1.00
89200.00	0.00
89225.00	1.00
89230.00	0.00
89255.00	1.00
89260.00	0.00
89285.00	1.00
89290.00	0.00
89315.00	1.00
89321.00	0.00
89346.00	1.00
89351.00	0.00
89375.00	1.00
89380.00	0.00
89404.00	1.00
89409.00	0.00
89434.00	1.00
89439.00	0.00
89463.00	1.00
89468.00	0.00
89499.00	1.00
89505.00	0.00
89530.00	1.00
89535.00	0.00
89614.00	1.00
90087.00	0.00
90151.00	1.00
90156.00	0.00
90218.00	1.00
90222.00	0.00
90329.00	1.00
90334.00	0.00
90376.00	1.00
90381.00	0.00
90507.00	1.00
90511.00	0.00
90881.00	1.00
90954.00	0.00
90987.00	1.00
91029.00	0.00
91083.00	1.00
91127.00	0.00
91161.00	1.00
91167.00	0.00
91193.00	1.00
91233.00	0.00
91263.00	1.00
91269.00	0.00
91296.00	1.00
91337.00	0.00
91375.00	1.00
91380.00	0.00
91411.00	1.00
91417.00	0.00
91449.00	1.00
91492.00	0.00
91594.00	1.00
91601.00	0.00
91631.00	1.00
91636.00	0.00
91661.00	1.00
91666.00	0.00
91691.00	1.00
91696.00	0.00
91721.00	1.00
91726.00	0.00
91752.00	1.00
91757.00	0.00
91862.00	1.00
91868.00	0.00
91923.00	1.00
91929.00	0.00
91985.00	1.00
91991.00	0.00
92079.00	1.00
92086.00	0.00
92165.00	1.00
92172.00	0.00
92266.00	1.00
92271.00	0.00
92321.00	1.00
92326.00	0.00
92381.00	1.00
92386.00	0.00
92424.00	1.00
92428.00	0.00
92474.00	1.00
92479.00	0.00
92526.00	1.00
92530.00	0.00
92595.00	1.00
92600.00	0.00
92642.00	1.00
92647.00	0.00
92715.00	1.00
92720.00	0.00
92776.00	1.00
92781.00	0.00
92832.00	1.00
92837.00	0.00
92915.00	1.00
92920.00	0.00
92991.00	1.00
92997.00	0.00
93050.00	1.00
93055.00	0.00
93122.00	1.00
93127.00	0.00
93191.00	1.00
93198.00	0.00
93247.00	1.00
93252.00	0.00
93314.00	1.00
93319.00	0.00
93380.00	1.00
93386.00	0.00
93447.00	1.00
93454.00	0.00
93515.00	1.00
93520.00	0.00
93698.00	1.00
93705.00	0.00
93800.00	1.00
93806.00	0.00
93902.00	1.00
93907.00	0.00
94166.00	1.00
94236.00	0.00
94272.00	1.00
94313.00	0.00
94346.00	1.00
94352.00	0.00
94377.00	1.00
94382.00	0.00
94404.00	1.00
94442.00	0.00
94475.00	1.00
94512.00	0.00
94551.00	1.00
94556.00	0.00
94578.00	1.00
94629.00	0.00
94662.00	1.00
94667.00	0.00
94692.00	1.00
94697.00	0.00
94723.00	1.00
94728.00	0.00
94753.00	1.00
94758.00	0.00
94783.00	1.00
94789.00	0.00
94818.00	1.00
94822.00	0.00
94847.00	1.00
94852.00	0.00
94879.00	1.00
94884.00	0.00
94910.00	1.00
94914.00	0.00
94953.00	1.00
95045.00	0.00
95099.00	1.00
95105.00	0.00
95247.00	1.00
95255.00	0.00
95306.00	1.00
95313.00	0.00
95401.00	1.00
95409.00	0.00
95536.00	1.00
95544.00	0.00
95725.00	1.00
95788.00	0.00
95821.00	1.00
95863.00	0.00
95924.00	1.00
95994.00	0.00
96028.00	1.00
96071.00	0.00
96104.00	1.00
96109.00	0.00
96135.00	1.00
96229.00	0.00
96271.00	1.00
96276.00	0.00
96308.00	1.00
96314.00	0.00
96348.00	1.00
96352.00	0.00
96385.00	1.00
96391.00	0.00
96423.00	1.00
96430.00	0.00
96465.00	1.00
96472.00	0.00
96506.00	1.00
96512.00	0.00
96542.00	1.00
96548.00	0.00
96576.00	1.00
96582.00	0.00
96623.00	1.00
96629.00	0.00
96661.00	1.00
96667.00	0.00
96728.00	1.00
96733.00	0.00
96784.00	1.00
96805.00	0.00
96841.00	1.00
96848.00	0.00
96897.00	1.00
96902.00	0.00
96942.00	1.00
96947.00	0.00
96973.00	1.00
96978.00	0.00
97026.00	1.00
97030.00	0.00
97061.00	1.00
97066.00	0.00
97112.00	1.00
97117.00	0.00
97163.00	1.00
97168.00	0.00
97241.00	1.00
97246.00	0.00
97289.00	1.00
97294.00	0.00
97379.00	1.00
97386.00	0.00
97435.00	1.00
97441.00	0.00
97487.00	1.00
97492.00	0.00
97554.00	1.00
97559.00	0.00
97622.00	1.00
97629.00	0.00
97673.00	1.00
97678.00	0.00
97742.00	1.00
97747.00	0.00
97812.00	1.00
97818.00	0.00
97866.00	1.00
97870.00	0.00
97936.00	1.00
97941.00	0.00
98003.00	1.00
98009.00	0.00
98065.00	1.00
98070.00	0.00
98120.00	1.00
98125.00	0.00
98285.00	1.00
98290.00	0.00
98361.00	1.00
98366.00	0.00
98443.00	1.00
98447.00	0.00
98646.00	1.00
98711.00	0.00
98739.00	1.00
98785.00	0.00
98813.00	1.00
98873.00	0.00
98907.00	1.00
98943.00	0.00
99294.00	1.00
99344.00	0.00
99373.00	1.00
99378.00	0.00
99405.00	1.00
99410.00	0.00
99432.00	1.00
99437.00	0.00
99466.00	1.00
99517.00	0.00
99537.00	1.00
99543.00	0.00
99572.00	1.00
99579.00	0.00
99609.00	1.00
99614.00	0.00
99644.00	1.00
99650.00	0.00
99677.00	1.00
99681.00	0.00
99706.00	1.00
99712.00	0.00
99742.00	1.00
99747.00	0.00
99777.00	1.00
99784.00	0.00
99819.00	1.00
99825.00	0.00
99854.00	1.00
99861.00	0.00
99952.00	1.00
99959.00	0.00
100068.00	1.00
100073.00	0.00
100476.00	1.00
100559.00	0.00
100595.00	1.00
100600.00	0.00
100626.00	1.00
100737.00	0.00
100772.00	1.00
100817.00	0.00
100851.00	1.00
100894.00	0.00
100934.00	1.00
100940.00	0.00
100966.00	1.00
101012.00	0.00
101048.00	1.00
101054.00	0.00
101084.00	1.00
101090.00	0.00
101122.00	1.00
101130.00	0.00
101162.00	1.00
101168.00	0.00
